dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,pred_cnt
07,3,0,9,0,3,1,3,0.599167,0.917083,0.0970208,3170.805
09,1,1,2,0,4,1,1,0.265,0.562083,0.194037,3337.575
18,3,1,8,0,6,0,1,0.678333,0.603333,0.177867,7724.46
12,3,0,8,0,5,1,1,0.708333,0.415,0.125621,5074.875
18,2,0,5,0,3,1,2,0.55,0.87,0.201492,3915.575
18,1,0,3,0,5,1,1,0.54,0.525217,0.231017,3635.47
06,3,1,7,0,5,1,1,0.828333,0.450833,0.146142,5917.85
22,3,0,9,0,4,1,2,0.628333,0.902083,0.128125,3585.73
27,1,1,2,0,1,1,1,0.366667,0.490833,0.26803299999999997,4192.635
31,4,0,10,0,1,1,1,0.34,0.703333,0.10635,3254.1
18,4,1,10,0,4,1,2,0.5225,0.728333,0.23693699999999998,6809.095
21,3,0,7,0,4,1,2,0.815,0.69125,0.222021,3991.995
11,1,0,1,0,2,1,2,0.16909100000000002,0.6863640000000001,0.12213199999999999,1107.825
29,2,0,3,0,2,1,1,0.3025,0.31416700000000003,0.226996,2046.865
11,2,0,4,0,1,1,2,0.5956520000000001,0.716956,0.324474,3419.07
01,2,0,6,0,3,1,2,0.764167,0.677083,0.207092,4460.765
05,2,0,4,0,2,1,2,0.414167,0.642083,0.388067,2339.355
01,3,1,7,0,0,0,1,0.815833,0.51875,0.16852899999999998,5861.93
